Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2017-05-29,11,37,1354,355,949,73,302,16,185
2017-05-30,19,49,1541,241,973,87,275,21,215
2017-05-31,18,43,1185,162,1044,107,347,27,232
2017-06-01,17,57,1168,142,974,74,376,42,189
2017-06-02,7,28,1041,151,856,71,265,15,154
2017-06-03,12,26,1042,187,856,83,241,10,163
2017-06-04,12,35,1359,189,808,87,283,27,177
2017-06-05,7,33,1124,154,875,74,392,19,192
2017-06-06,12,36,1477,151,927,65,445,45,196
2017-06-07,18,31,1252,180,943,51,613,27,137
2017-06-08,22,30,1125,210,883,62,579,21,136
2017-06-09,16,21,1310,217,849,54,335,15,183
2017-06-10,7,18,1271,194,822,32,379,13,139
2017-06-11,16,29,1316,263,834,53,414,32,160
2017-06-12,16,39,1424,296,885,65,516,23,155
2017-06-13,32,50,1175,260,820,44,547,29,206
2017-06-14,27,48,1028,258,809,66,528,30,171
2017-06-15,30,30,997,267,884,55,468,22,153
2017-06-16,23,34,1012,268,884,66,332,12,176
2017-06-17,19,27,999,204,828,46,412,15,169
2017-06-18,14,36,1096,202,762,52,514,17,203
2017-06-19,8,34,1122,259,875,59,531,13,252
2017-06-20,20,37,1432,223,820,62,570,12,204
2017-06-21,10,35,1088,225,858,62,367,14,234
2017-06-22,14,54,1069,207,874,45,392,19,230
2017-06-23,25,33,973,203,890,58,272,19,208
2017-06-24,11,27,985,188,801,43,266,13,205
2017-06-25,13,29,1208,163,875,71,342,12,260
2017-06-26,14,24,1293,229,968,88,427,19,258
2017-06-27,7,20,1110,170,996,57,425,11,237
2017-06-28,14,25,1147,195,887,71,362,19,217
2017-06-29,13,16,1047,190,806,54,319,12,147
2017-06-30,11,12,1060,165,832,69,248,8,192
2017-07-01,6,21,1111,263,789,74,289,6,208
2017-07-02,15,37,966,328,814,56,326,12,210
2017-07-03,13,15,1189,350,847,49,456,12,228
2017-07-04,12,17,1087,300,858,75,462,10,229
2017-07-05,13,35,1022,269,922,62,431,11,223
2017-07-06,10,25,1059,257,936,68,452,14,221
2017-07-07,9,15,1019,236,902,73,285,10,219
2017-07-08,11,21,1131,280,825,60,312,9,327
2017-07-09,27,13,1101,203,931,56,419,12,279
2017-07-10,14,20,1126,176,965,69,447,13,258
2017-07-11,8,24,1092,155,1849,50,474,12,245
2017-07-12,20,18,994,178,1227,61,440,13,208
2017-07-13,10,29,1107,171,1202,74,412,7,204
2017-07-14,9,20,1049,150,1030,66,286,8,220
2017-07-15,11,18,1060,145,863,63,282,15,170
2017-07-16,14,19,1321,234,832,180,433,12,192
2017-07-17,13,22,6318,225,882,120,416,8,220
2017-07-18,14,19,1910,175,895,67,451,10,236
2017-07-19,14,22,1543,196,795,56,364,17,238
2017-07-20,13,23,1321,185,839,47,393,14,213
2017-07-21,17,25,1035,205,730,76,294,13,180
2017-07-22,13,16,1028,171,868,61,241,5,274
2017-07-23,13,20,1191,188,803,61,484,8,221
2017-07-24,10,12,1557,212,841,78,504,10,229
2017-07-25,8,22,1376,183,884,50,411,18,227
2017-07-26,17,38,1200,246,875,61,320,22,182
2017-07-27,11,54,1179,189,883,67,312,13,161
2017-07-28,14,26,1132,185,826,70,268,15,176
2017-07-29,7,10,1196,161,1445,88,243,9,182
2017-07-30,11,16,1234,190,940,53,382,5,199
2017-07-31,11,21,1298,170,845,62,339,12,198
2017-08-01,23,31,1312,243,930,62,378,20,172
2017-08-02,18,18,1164,231,1185,78,380,31,181
2017-08-03,16,23,1121,193,1130,70,368,10,180
2017-08-04,15,18,1146,340,1161,91,249,20,197
2017-08-05,22,35,1185,198,1528,62,343,16,207
2017-08-06,16,19,1164,233,1177,81,411,12,225
2017-08-07,7,22,1203,247,1404,96,394,19,186
2017-08-08,18,24,1190,163,1462,65,372,13,325
2017-08-09,17,26,1180,205,2887,83,345,9,189
2017-08-10,11,17,1103,255,2083,75,346,21,195
2017-08-11,15,22,1095,222,1833,66,240,21,141
2017-08-12,20,27,1097,307,3797,66,245,9,142
2017-08-13,10,13,1334,514,3740,128,334,14,205
