Date,"Brazilian battleship São Paulo","Death of Leelah Alcorn","Qatna","William Borah","Birthday-number effect"
2017-03-20,33,261,22,135,0
2017-03-21,26,275,42,154,0
2017-03-22,43,263,24,174,0
2017-03-23,41,273,30,180,0
2017-03-24,46,208,32,120,0
2017-03-25,39,242,32,116,0
2017-03-26,38,230,27,140,0
2017-03-27,36,329,38,158,0
2017-03-28,49,314,30,163,0
2017-03-29,32,453,20,778,0
2017-03-30,43,284,24,135,0
2017-03-31,35,318,13,144,0
2017-04-01,31,276,35,156,0
2017-04-02,45,304,38,172,0
2017-04-03,46,275,28,159,0
2017-04-04,48,228,87,152,0
2017-04-05,31,245,43,152,0
2017-04-06,40,321,31,154,0
2017-04-07,54,200,84,119,0
2017-04-08,42,176,41,107,0
2017-04-09,30,204,26,112,0
2017-04-10,61,284,30,156,0
2017-04-11,31,300,40,134,0
2017-04-12,37,377,32,121,0
2017-04-13,43,375,34,143,0
2017-04-14,29,342,23,122,0
2017-04-15,37,385,24,108,0
2017-04-16,38,418,23,103,0
2017-04-17,299,441,30,131,11
2017-04-18,31,387,24,128,2
2017-04-19,48,357,27,135,3
2017-04-20,31,429,36,152,2
2017-04-21,50,372,17,124,6
2017-04-22,46,458,14,128,1
2017-04-23,39,450,45,127,4
2017-04-24,34,707,22,137,0
2017-04-25,40,539,24,135,1
2017-04-26,57,446,15,160,1
2017-04-27,53,405,28,148,3
2017-04-28,52,322,17,141,3
2017-04-29,30,222,33,104,1
2017-04-30,33,336,29,109,2
2017-05-01,28,331,32,142,4
2017-05-02,44,257,22,104,0
2017-05-03,51,239,21,109,2
2017-05-04,39,453,17,120,1
2017-05-05,35,385,23,134,1
2017-05-06,41,288,23,124,2
2017-05-07,36,236,22,145,3
2017-05-08,39,323,25,122,3
2017-05-09,39,312,27,122,0
2017-05-10,40,254,21,113,1
2017-05-11,46,264,25,110,1
2017-05-12,44,279,24,138,1
2017-05-13,37,303,31,97,1
2017-05-14,39,329,36,101,1
2017-05-15,46,332,27,112,4
2017-05-16,33,320,34,118,3
2017-05-17,41,336,39,131,1
2017-05-18,40,354,38,170,2
2017-05-19,34,254,33,165,1
2017-05-20,35,277,28,115,3
2017-05-21,36,281,20,124,0
2017-05-22,39,277,22,134,2
2017-05-23,36,220,46,121,1
2017-05-24,34,279,29,124,1
2017-05-25,30,257,21,104,2
2017-05-26,42,260,26,100,4
2017-05-27,26,287,28,91,4
2017-05-28,35,234,29,98,4
2017-05-29,31,258,51,106,1
2017-05-30,35,309,102,171,2
2017-05-31,45,299,56,126,3
2017-06-01,36,591,39,131,0
2017-06-02,29,392,24,110,2
2017-06-03,29,282,33,97,3
2017-06-04,23,226,28,79,2
2017-06-05,44,289,44,107,1
2017-06-06,35,360,26,129,1
2017-06-07,40,384,19,114,2
2017-06-08,29,228,38,121,0
2017-06-09,32,248,25,103,1
2017-06-10,34,197,14,103,2
2017-06-11,37,294,28,100,4
2017-06-12,40,409,30,120,2
2017-06-13,47,257,26,136,2
2017-06-14,56,275,83,117,2
2017-06-15,40,280,65,126,3
2017-06-16,28,310,32,135,2
2017-06-17,28,459,17,113,8
2017-06-18,38,292,68,123,3
2017-06-19,34,228,34,107,3
2017-06-20,36,230,17,129,1
2017-06-21,33,284,25,119,3
2017-06-22,28,344,32,120,7
2017-06-23,26,365,30,112,9
2017-06-24,27,395,46,114,22
2017-06-25,27,452,38,104,33
2017-06-26,35,499,108,108,3
2017-06-27,31,409,102,113,4
2017-06-28,38,740,45,122,4
2017-06-29,36,551,57,102,3
2017-06-30,40,377,90,92,3
2017-07-01,28,328,30,86,4
2017-07-02,36,344,63,126,8
2017-07-03,36,501,47,109,5
2017-07-04,36,375,50,136,6
2017-07-05,26,399,25,121,16
2017-07-06,27,579,31,108,8
2017-07-07,27,363,67,117,12
2017-07-08,28,293,29,117,28
2017-07-09,34,224,30,152,14
2017-07-10,36,214,37,127,4
2017-07-11,41,218,23,131,29
2017-07-12,37,243,33,133,36
2017-07-13,31,385,39,149,14
2017-07-14,37,270,46,103,32
2017-07-15,36,273,30,132,51
2017-07-16,42,348,43,128,31
2017-07-17,38,268,25,145,15
2017-07-18,28,249,44,131,17
2017-07-19,59,311,25,112,40
2017-07-20,45,384,26,102,8
2017-07-21,37,352,28,109,11
2017-07-22,31,510,32,110,51
2017-07-23,44,460,32,152,74
2017-07-24,44,313,37,132,49
2017-07-25,35,329,95,124,29
2017-07-26,69,401,110,125,11
2017-07-27,30,479,161,157,11
2017-07-28,39,340,132,149,10
2017-07-29,24,328,90,131,27
2017-07-30,34,352,84,149,18
2017-07-31,36,270,90,118,3
2017-08-01,40,270,135,112,5
2017-08-02,44,266,143,120,15
2017-08-03,34,395,116,129,10
2017-08-04,31,378,112,119,9
2017-08-05,45,344,135,98,318
2017-08-06,44,284,118,106,102
2017-08-07,37,329,122,114,85
2017-08-08,41,240,116,118,66
2017-08-09,29,334,122,161,25
2017-08-10,29,399,135,121,24
2017-08-11,37,292,116,96,25
2017-08-12,30,227,120,114,17
2017-08-13,32,211,44,107,5
2017-08-14,45,256,199,107,7
2017-08-15,48,233,65,119,7
2017-08-16,55,250,88,101,10
2017-08-17,20,197,125,124,6
2017-08-18,44,207,51,116,9
2017-08-19,27,191,36,381,10
2017-08-20,42,205,28,133,13
2017-08-21,37,184,54,107,16
2017-08-22,32,180,197,98,19
2017-08-23,38,230,64,119,8
2017-08-24,37,235,31,130,11
2017-08-25,26,304,30,113,21
2017-08-26,20,454,25,95,30
2017-08-27,29,228,20,81,17
2017-08-28,26,236,20,149,23
2017-08-29,39,208,30,90,13
2017-08-30,31,194,24,111,27
2017-08-31,36,188,30,100,18
2017-09-01,43,215,29,106,14
2017-09-02,26,231,36,88,16
2017-09-03,24,209,23,88,14
2017-09-04,26,228,31,111,14
2017-09-05,42,217,43,96,9
2017-09-06,286,198,31,130,9
2017-09-07,51,206,45,90,10
